ID,Tipo,Data,Responsável,Fornecedor,Quem Recebeu,Quem Cadastrou,Local,Material,Tipo Material,Qtd Pacotes,Unids. por Pacote,Qtd Total,Valor Unit.,Valor Total,Obs,Status,Motivo Exclusão,Data Exclusão
1775570022907,Entrada,2026-04-07 10:44,MURILLO,,MURILLO,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,35,20,700,0,0,,ATIVO,,
1775570089225,Entrada,2026-04-07 10:53,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,4,20,80,0,0,,ATIVO,,
1775570121889,Entrada,2026-04-07 10:54,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,ROSAS PINK,ORNAMENTAÇÃO,15,20,300,0,0,,ATIVO,,
1775570163353,Entrada,2026-04-07 10:55,MURILLO,,MURILLO,,QUARTA PARADA,LÍRIO BRANCO,ORNAMENTAÇÃO,0,0,24,0,0,,ATIVO,,
1775570227968,Entrada,2026-04-07 10:56,MURILLO,,MURILLO,,QUARTA PARADA,TANGO,ORNAMENTAÇÃO,15,9,135,0,0,,ATIVO,,
1775570259890,Entrada,2026-04-07 10:57,MURILLO,,MURILLO,,QUARTA PARADA,MARIANA,ORNAMENTAÇÃO,10,9,90,0,0,,ATIVO,,
1775570320903,Entrada,2026-04-07 10:57,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,4,10,40,0,0,,ATIVO,,
1775570391383,Entrada,2026-04-07 10:58,MURILLO,COOPERFLORA,MURILLO,,QUARTA PARADA,LISIANTUS BRANCOS,ORNAMENTAÇÃO,0,0,3,0,0,,ATIVO,,
1775571816715,Entrada,2026-04-07 10:59,MURILLO,,MURILLO,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,32,19,608,0,0,,ATIVO,,
1775576749623,Entrada,2026-04-07 11:23,MURILLO,PADILHA,MURILLO,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,57,19,1083,0,0,,ATIVO,,
